Ano,Mês,UF,IMPOSTO SOBRE IMPORTAÇÃO,IMPOSTO SOBRE EXPORTAÇÃO,IPI - FUMO,IPI - BEBIDAS,IPI - AUTOMÓVEIS,IPI - VINCULADO À IMPORTACAO,IPI - OUTROS,IRPF,IRPJ - ENTIDADES FINANCEIRAS,IRPJ - DEMAIS EMPRESAS,IRRF - RENDIMENTOS DO TRABALHO,IRRF - RENDIMENTOS DO CAPITAL,IRRF - REMESSAS P/ EXTERIOR,IRRF - OUTROS RENDIMENTOS,IMPOSTO S/ OPERAÇÕES FINANCEIRAS,IMPOSTO TERRITORIAL RURAL,CPMF,COFINS
2000,Fevereiro,MG,28321797,13,14225672,8174782,45788926,13539275,49137262,9397799,3816282,48244571,56798033,14917715,6422417,16595106,3024860,227970,16523270,171139630
2000,Fevereiro,PA,1530047,7451,2367286,681810,0,836712,859849,970967,7924112,29719875,8340682,748073,135634,676208,179340,92556,2898627,18031210
2000,Fevereiro,PB,769182,0,1839704,2143795,0,469260,1604482,574091,4277,4574979,6812353,153732,44702,194751,137918,20187,229673,12098349
2000,Fevereiro,PR,50820306,0,6395079,4440417,32178732,30236508,25251990,5719602,9674282,39612008,38722436,30314251,7987108,4681441,8708053,213488,70744967,116003465
2000,Fevereiro,PE,8305184,0,5858574,4810583,0,3339032,8981822,2093340,131047,10253983,21641059,1520451,600655,1968640,580534,57100,2847782,43637067
2000,Fevereiro,PI,359194,0,928022,677756,0,204303,351020,372464,14278,4700138,3090246,48451,16257,121660,46262,35869,181856,6904831
2000,Fevereiro,RJ,44350195,225,23439256,23164101,20200,24225802,58224527,27634980,89382492,216169951,228390081,103634492,67288529,21697672,12370162,62484,28111624,667575625
2000,Fevereiro,RN,780184,0,1709148,829992,0,331106,119458,409703,1662,2045454,5707010,211418,309054,274864,9362,11554,69430,10908391
2000,Fevereiro,RS,21716807,12491,20056271,8848041,0,13330148,54949401,6769975,4779231,35805521,60489547,14297647,5632584,8851367,4871468,181579,28033133,179886737
2000,Fevereiro,RO,13719,0,574302,0,0,6661,28357,402530,2512,1254829,2840816,159544,2010,196797,7403,22116,43644,6001610
2000,Fevereiro,RR,7911,0,237936,0,0,5655,1006,69453,2905,289754,944039,4150,694,21412,0,5244,3833,1049745
2000,Fevereiro,SC,14857636,4625,5271404,5305143,0,8433527,24542123,3424487,165401,19525803,21882186,3260130,924559,3687151,1530751,61873,6783384,78733552
2000,Fevereiro,SP,318467575,2833,55153462,48104325,117796256,176230099,334365861,83298947,569130208,373653799,547494134,442015611,133545513,59831418,144981191,912448,715791164,1061357283
2000,Fevereiro,SE,632278,0,942624,4704998,0,393152,1146194,691187,317635,1566162,3336657,321154,83593,782633,112111,19284,995671,8007522
2000,Fevereiro,TO,758572,0,363071,83379,0,2572,54581,80074,169,425608,603073,9896,11003,65820,1411,30433,9217,2425322
2000,Março,AC,2648,0,245759,0,0,101,7468,127554,869,385853,1373613,65413,2390,27998,956,3504,295,1419197
2000,Março,AL,426343,17202,1203411,916046,0,1857,3361245,672321,701,1142497,23869315,214354,128651,378479,12043,18922,84884,7335820
2000,Março,AP,22123,0,350123,751,321,25742,3748,132843,0,476850,2066766,13036,41085,38075,1636,1471,0,1448905
2000,Março,AM,10972356,0,1300714,476115,44468,2953561,802091,749017,27655,36028459,12254462,717520,1618218,1143313,757087,8657,1139796,47349523
2000,Março,BA,11910139,87,5028068,6464484,0,11469220,21694437,3362652,930917,21192109,35578798,12627929,9875254,3513662,1554986,101498,14407594,74548208
2000,Março,CE,6648280,0,3910697,1559125,0,1185619,2963050,2278029,846563,9835129,17653773,2569367,855090,1408366,918712,32459,5237711,34677467
2000,Março,DF,1999507,0,3169124,3071729,133,4179861,565247,3271685,14403119,36083633,239060252,127004004,2533842,35819521,29690798,164446,289781174,102126116
2000,Março,ES,40041522,0,3156288,148665,1811185,29806015,8066467,1293448,6601,21241520,11752073,1979868,6385807,1488404,438203,23901,79703,40400283
2000,Março,GO,4472041,0,3039227,3162297,3934,1802187,2272379,1208159,164585,9809939,12348858,1255240,223050,1359055,740438,189607,5076342,43159154
2000,Março,MA,2769145,0,983250,2703036,0,699047,608125,450450,7717,4659173,4079965,249707,39495,268561,85797,202863,633105,9375203
2000,Março,MT,185210,0,1566771,1693267,0,180147,496345,666076,1356,3255254,8637253,367257,310826,269769,87938,129021,987360,13814802
2000,Março,MS,171083,1260,844898,134915,0,69710,537548,908849,6883,3118228,6950562,408283,16321,505605,103741,125098,277093,10961598
2000,Março,MG,38897767,17,14151052,9249928,12681892,18303569,41330478,10072792,20748402,100933705,72605991,11622361,10429755,8044780,3473576,227038,21758830,185839612
2000,Março,PA,1156356,0,2201026,886917,1400,609075,850913,1207662,1184295,7589047,13222577,1006860,260294,827225,242018,185921,3538315,16894196
2000,Março,PB,1532436,0,1745940,597509,0,527305,1542007,721437,2320,3610915,7274777,147396,420216,206590,176964,16028,286827,10760533
2000,Março,PR,54528178,29,8960381,3738369,28927438,37587088,25477213,6483530,5179881,65248727,49471279,34449107,3038806,5071347,10281747,262972,85313689,126302671
2000,Março,PE,8222719,0,5767054,3401471,0,2666032,8893173,1977445,594210,28491674,29319998,1959563,467868,2169194,862310,51183,3856246,45470336
2000,Março,PI,167313,0,779287,479517,0,43720,287835,384176,0,5280872,2668425,808998,44421,165095,45446,36661,204844,6793277
2000,Março,RJ,65588102,0,24628039,22368511,1389902,34261272,54682427,38662009,60830313,397514976,310910342,105997299,53556841,24327776,15286348,53252,55329803,763795618
2000,Março,RN,637663,0,1620931,391301,9829,304190,184138,471393,1536,1620993,4670146,240808,92361,292062,8696,20616,78067,10715121
2000,Março,RS,23656856,10533,19086716,6191020,1085235,17221780,52196987,8256411,11255969,54389050,68104838,16168274,3579781,10907216,4698081,176259,33857557,176887012
2000,Março,RO,12843,51,576570,0,33,5374,47193,256496,2272,981158,2702404,104695,1716,128136,7005,20298,60393,5247167
2000,Março,RR,2605,0,253833,0,0,25,2453,94599,60818,339398,979393,11652,769,88850,2078,7919,3636,1184166
2000,Março,SC,14547721,8100,5101687,4353315,0,9390699,21439706,2864244,249048,21798700,24594534,3085095,1467453,3190181,1937593,109960,9354747,77892352
2000,Março,SP,335955873,66,56276360,52058410,98128472,191850834,313827850,82013858,169814882,1482963571,629060632,497202357,150962070,77976633,178791819,722532,867432304,1137048481
2000,Março,SE,480266,0,852707,4558290,0,237827,868749,847332,326857,1293324,4926658,214309,79975,174406,163598,13006,1166723,7056060
2000,Março,TO,12822,0,354505,40573,0,13813,181773,157503,0,380610,713256,11065,373,84663,1248,38288,11245,2885954
2000,Abril,AC,69,0,281844,0,0,53,15332,1534469,504,524943,570225,10449,6731,114929,602,2826,314,1290412
2000,Abril,AL,431496,34670,1335161,666420,0,209261,3524041,5599176,941,1902985,3121971,145840,39305,293824,6371,11258,75256,12143928
2000,Abril,AP,18176,0,392010,1372,2089,21265,5564,673690,0,488336,585244,9247,0,27285,359,1261,0,1276739
2000,Abril,AM,11653014,0,1435869,761711,3110,2737765,823793,4396799,10359,9039140,13559355,540540,1566942,1428987,917522,4845,998499,47530464
2000,Abril,BA,14688014,339,5351139,9280167,0,14580507,26640025,15155589,1002540,24424129,23222040,11924026,2517595,2490981,2761108,82777,13219411,75677934
2000,Abril,CE,6404554,0,4312128,3634189,75,1170030,3516949,14628406,198626,11981523,17432278,2800257,643424,965139,831284,30114,4256952,37211974
2000,Abril,DF,1575729,220,3591841,3430141,0,1787121,918468,25559967,8974004,55836397,180539755,92534374,3504535,33361275,21771940,94572,228139896,113907394
2000,Abril,ES,39356046,0,3377041,203797,3739221,27954083,6361286,10574963,86002,21137730,10335622,1566528,5610080,1378488,521351,27261,5434,40756335
2000,Abril,GO,4860570,0,3397095,4191750,0,2357006,3150367,11800447,30012,15256994,9649936,1441072,377088,1147127,619595,154040,3874980,41611410
2000,Abril,MA,4496161,0,988884,2518789,0,122391,1185428,3171259,1031,2806683,3848637,160707,62215,243541,115772,45873,565586,9037552
2000,Abril,MT,174171,0,1734122,1934977,0,219867,635499,4223244,3647,4395331,5973913,326776,6913763,880974,89096,177728,885315,14216864
2000,Abril,MS,141516,0,943385,320225,0,126602,563690,6716641,4626,3889301,3672507,303436,173091,192721,93123,144869,311055,11223695
2000,Abril,MG,27821946,0,15715488,11453240,35308685,11187247,50343579,66396781,1905192,76322421,74338873,7891934,8387297,6519704,2964821,233650,13008186,187461244
2000,Abril,PA,1182931,0,2488552,903726,0,694707,1026390,6204840,1384043,8046201,11519619,655580,237293,617871,333335,94504,2991822,17062165
2000,Abril,PB,998391,0,1929333,778395,0,430864,1676840,5152700,7090,3538418,7058509,160946,115100,169257,146162,16393,187375,9464873
2000,Abril,PR,53090478,0,8723042,5036162,34775954,35566257,34232468,46365798,11646200,52279319,39539839,33994847,3418230,5310118,9121231,207266,73591145,127468351
2000,Abril,PE,8534629,0,6298798,5553873,0,4040788,9617999,18384596,431554,27413524,19792232,3533983,978031,2379125,801417,37211,2909938,46558690
2000,Abril,PI,218222,0,800617,42627,0,66586,305624,3632799,21452,4136774,3564655,184913,7317,134715,47430,40020,177158,6694621
2000,Abril,RJ,42783664,0,24505082,23060908,4081079,22411239,57264414,149114754,16782653,333252918,197087931,89126990,50532474,32936741,15837756,54281,27773395,683454439
2000,Abril,RN,522119,0,1815090,369474,206,217905,657685,5017059,2458,3157839,6687845,221516,321642,218076,8386,6105,66601,11095185
2000,Abril,RS,20469201,4834,24970501,10272176,684495,14204307,62034677,64326417,4004415,81074858,57585927,20264736,3758718,11617853,5216820,246327,29347603,186774504
2000,Abril,RO,3564,0,613766,0,32,907,75616,1814647,2303,2259875,2740524,154273,28868,123057,4377,47538,60930,5586771
2000,Abril,RR,1129,0,273213,0,0,1147,3769,658627,921,599766,797063,3937,0,14813,0,7609,3880,1104880
2000,Abril,SC,13415570,4597,5276938,4315434,0,8152983,25346482,20562969,163481,36953344,21027265,3324164,845836,2943415,1539581,88335,9020875,86661696
2000,Abril,SP,318429601,4172,60008546,62100019,142109773,175997052,398685779,318041733,60859893,585121497,488063147,484442460,124374639,63346979,150773916,415475,722576359,1226112154
2000,Abril,SE,903877,0,962855,3517123,0,532622,837995,4947149,225198,2856993,3843762,419267,160243,156742,413886,10474,1007479,7655618
2000,Abril,TO,5826,0,386584,96705,0,13295,183916,661563,886,984178,593486,10021,5199,73701,1395,32360,9645,2686119
2000,Maio,AC,349,0,247176,0,0,115,21104,516710,511,465755,1522129,11139,1208,23756,749,159019,243,1265317
2000,Maio,AL,712640,0,1091382,440535,0,91007,469344,2097152,872,2508967,6267385,226634,61370,328757,8852,40850,99758,8190210
2000,Maio,AP,47246,0,300432,1384,421,53165,4427,459139,0,340255,2449455,15668,1348,41665,1939,1034,0,1426620
2000,Maio,AM,16644627,0,1250680,1441343,1604,4175202,782717,2494202,168853,12667905,14458919,588997,3536226,1488698,2066884,3566,585607,50418626
2000,Maio,BA,12532051,0,4383157,9653501,0,15828269,19781854,8087578,107349,15977758,33664187,17488715,4622757,4920514,2687799,105639,16866953,74267252
2000,Maio,CE,7772856,0,3655873,3205382,75,2191509,3520745,7125189,21743,6497339,22128691,4793922,565292,1222601,825759,34926,5237305,37800758
2000,Maio,DF,1623836,0,3041575,2802223,1885,692609,921687,13497805,4646578,41241443,209969636,78331398,6029490,29953637,27615594,51951,296347230,102895583
2000,Maio,ES,44995767,0,2687897,170595,2135142,34597362,6027017,4789525,1205,11117230,11527778,3408567,5029527,1869542,352353,22579,270,40129306
2000,Maio,GO,5867763,0,2835167,4284786,335661,3250463,2783459,6044682,14556,8731143,11643680,1015784,153325,1743981,665350,255239,5194311,44757736
2000,Maio,MA,2703211,0,858769,3012208,0,512939,1637263,1946199,3109,2227050,5408968,246458,528963,416804,175777,37249,675816,8641753
2000,Maio,MT,440969,71,1486479,1884321,0,248699,542566,2587083,5382,2953660,5448236,296463,1647457,319479,92763,208439,1116573,13908794
2000,Maio,MS,145637,21,820330,103420,0,58093,541583,3947077,20,2037288,4899995,421415,6256,281580,113512,94834,344563,11162062
2000,Maio,MG,41614316,48,12955328,10809741,35149202,18966281,45153164,28124107,3517732,35551093,64166741,26885126,9624402,8453091,3806090,256293,16972081,201468756
2000,Maio,PA,1782604,0,2109338,927599,0,827637,948472,3891059,1364,7094817,11571810,878477,112720,876377,329110,87762,3204956,16000870
2000,Maio,PB,978413,477,1558455,3742468,0,348015,1426901,2749702,74833,2814878,8867882,145417,133161,193407,180435,15262,284396,11051909
2000,Maio,PR,62859100,0,7673978,5125621,24132873,43590234,30329163,21807891,3420576,74895536,53731635,33477791,4969664,5461836,11360197,238072,93368417,131366903
2000,Maio,PE,8017913,14,5132100,4551563,0,3587743,9446127,9689053,101136,14366965,26056292,7456958,419807,3754884,792661,28265,3217146,49344630
